ORDER_ID,CLASS,B_EMAIL,B_TELEFON,B_BIRTHDATE,FLAG_LRIDENTISCH,FLAG_NEWSLETTER,Z_METHODE,Z_CARD_VALID,VALUE_ORDER,WEEKDAY_ORDER,TIME_ORDER,AMOUNT_ORDER,ANUMMER_01,CHK_LADR,CHK_RADR,CHK_KTO,CHK_CARD,CHK_COOKIE,CHK_IP,FAIL_LPLZ,FAIL_LORT,FAIL_LPLZORTMATCH,FAIL_RPLZ,FAIL_RORT,FAIL_RPLZORTMATCH,SESSION_TIME,NEUKUNDE,AMOUNT_ORDER_PRE,VALUE_ORDER_PRE
49994,no,yes,yes,1953-11-22,yes,yes,check,10.2006,73.0,Wednesday,23:11,2,205431,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49995,no,yes,no,1971-12-14,yes,no,check,11.2006,19.99,Monday,15:22,1,202677,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49997,no,yes,no,1966-07-20,yes,no,check,8.2005,23.4,Wednesday,21:56,2,208609,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49998,no,yes,yes,1969-06-01,yes,yes,check,9.2005,9.99,Monday,7:15,1,102090,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49999,no,yes,no,1969-06-01,no,no,debit_card,7.2005,115.3,Monday,5:24,3,401856,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,77.37
50000,no,no,no,1964-06-26,yes,no,check,3.2007,32.8,Thursday,6:30,1,507046,no,no,no,no,no,no,no,no,no,no,no,no,9,no,2,142.52
49623,no,yes,no,1970-07-10,yes,no,check,7.2006,68.4,Wednesday,10:13,1,104765,no,no,no,no,no,no,no,no,no,no,no,no,10,no,1,32.34
49624,no,yes,no,1962-01-27,yes,no,check,9.2005,22.5,Thursday,23:40,2,400767,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49625,no,no,no,1976-02-13,yes,no,check,9.2007,19.99,Tuesday,0:15,1,201402,no,no,no,no,no,no,no,no,no,no,no,no,14,yes,0,41.69
49626,yes,yes,no,1965-07-08,no,no,credit_card,8.2005,115.5,Saturday,9:09,2,407344,yes,no,no,no,no,no,no,no,no,no,no,no,11,no,1,18.99
49627,no,yes,no,1961-10-31,no,no,debit_note,9.2005,120.1,Saturday,22:38,3,303136,no,no,no,no,no,no,no,no,no,no,no,no,4,no,1,10.47
49629,no,yes,yes,1980-05-21,no,no,credit_card,8.2007,68.4,Thursday,9:18,1,205958,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,41.69
49630,no,yes,yes,1974-10-07,no,no,credit_card,10.2006,19.99,Friday,0:12,1,206858,no,no,no,no,no,no,no,no,no,no,no,no,6,no,2,39.74
49632,no,yes,no,1977-05-10,yes,no,check,1.2007,41.0,Thursday,17:31,1,407022,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49636,no,yes,yes,1986-03-10,yes,no,check,5.2005,29.99,Friday,7:40,1,405284,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,41.69
49637,no,yes,no,1969-06-01,yes,no,credit_card,12.2007,53.6,Thursday,17:11,2,202469,no,no,no,no,no,no,no,no,no,no,yes,no,17,no,1,7.17
49640,no,no,no,1969-06-01,yes,no,check,10.2006,90.5,Thursday,20:00,3,404645,no,no,no,no,no,no,no,no,no,no,no,no,10,no,3,78.6
49641,no,yes,no,1960-03-03,no,no,debit_note,2.2005,46.5,Tuesday,19:14,1,400822,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49643,no,no,no,1970-02-26,no,no,debit_note,2.2006,54.5,Tuesday,13:40,1,407416,no,no,no,no,no,no,no,no,no,yes,no,no,9,yes,0,41.69
49644,no,yes,no,1971-08-19,no,no,debit_note,12.2007,14.5,Saturday,17:10,1,306398,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49645,no,yes,no,1969-06-01,no,no,credit_card,2.2005,53.49,Sunday,1:32,2,100214,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49648,no,yes,no,1955-05-20,no,no,credit_card,7.2007,32.8,Saturday,11:46,1,409470,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,41.69
49651,no,yes,no,1963-03-22,yes,no,check,6.2005,17.8,Friday,12:43,1,402243,no,no,no,no,no,no,no,no,no,no,no,no,11,no,1,83.83
49654,no,yes,yes,1969-06-01,yes,no,check,2.2005,18.0,Wednesday,3:17,1,104921,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49656,yes,yes,no,1985-08-07,no,no,credit_card,7.2007,42.7,Saturday,22:45,2,502845,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,41.69
49657,no,yes,no,1975-07-10,yes,no,check,12.2005,10.8,Saturday,18:51,1,203136,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,41.69
49658,no,yes,yes,1980-12-31,yes,no,check,8.2005,26.0,Friday,2:04,1,409183,no,no,no,no,no,no,no,no,no,no,no,no,13,no,1,17.33
49659,no,yes,yes,1969-06-01,yes,no,check,5.2005,55.75,Saturday,11:24,2,409736,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,12.77
49660,no,no,yes,1935-07-13,yes,no,check,11.2005,10.8,Saturday,8:25,1,406310,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,28.03
49661,no,yes,no,1978-01-08,yes,no,check,2.2006,18.0,Thursday,8:26,1,200035,no,no,no,no,no,no,no,no,no,no,no,no,12,no,2,153.3
49665,no,yes,no,1978-01-16,yes,no,credit_card,3.2006,43.5,Sunday,10:27,1,104159,no,no,no,no,no,no,no,no,no,no,no,no,13,yes,0,41.69
49668,no,yes,no,1973-11-21,no,no,credit_card,8.2007,18.2,Wednesday,23:39,1,103776,no,no,no,no,no,no,no,no,no,no,no,no,13,yes,0,41.69
49670,no,yes,no,1980-11-03,no,no,debit_card,7.2006,19.99,Friday,22:18,1,409200,no,no,no,no,no,no,no,no,no,no,no,no,8,no,0,41.69
49671,no,yes,no,1966-10-10,yes,no,check,1.2006,30.59,Wednesday,10:01,2,205338,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49673,no,yes,yes,1975-06-23,no,no,credit_card,1.2005,97.94,Friday,8:03,4,204341,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49674,no,yes,no,1939-03-27,yes,yes,credit_card,10.2006,62.0,Monday,7:54,1,106284,no,no,no,no,no,no,no,no,no,no,no,no,10,no,1,80.27
49675,no,yes,no,1969-06-01,yes,no,check,7.2006,62.0,Tuesday,13:05,1,102845,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,253.49
49676,no,yes,no,1980-09-07,yes,no,check,3.2005,54.5,Sunday,1:11,1,206774,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,26.6
49678,no,yes,no,1966-11-16,yes,no,debit_note,8.2007,151.3,Sunday,18:28,4,403772,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49681,no,yes,no,1984-07-09,no,no,credit_card,11.2005,10.8,Thursday,20:58,1,200476,no,no,no,no,no,no,no,no,no,no,no,no,13,yes,0,41.69
49682,no,yes,no,1960-10-04,yes,no,check,8.2006,52.0,Wednesday,10:36,1,404921,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,34.85
49683,no,yes,no,1971-12-08,yes,no,check,12.2006,57.8,Saturday,7:56,1,108801,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,41.69
49684,no,yes,yes,1971-03-02,yes,no,check,9.2005,34.5,Monday,16:17,1,101856,no,no,no,no,no,no,no,no,no,no,no,no,5,no,3,76.05
49685,no,yes,no,1983-07-06,yes,no,debit_note,7.2005,42.8,Tuesday,21:21,1,307317,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49687,no,yes,yes,1977-08-19,yes,no,check,10.2006,12.6,Saturday,6:22,1,404935,yes,no,no,no,no,no,no,no,no,no,no,no,4,no,1,14.93
49688,no,no,no,1970-02-26,yes,no,check,9.2005,36.3,Saturday,14:37,2,302496,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,41.69
49689,no,yes,no,1969-07-25,yes,no,debit_note,8.2005,54.5,Monday,14:06,1,609121,no,no,no,no,no,no,no,no,yes,no,no,no,3,no,1,63.67
49691,no,no,yes,1972-03-15,yes,no,credit_card,5.2005,117.75,Saturday,21:59,3,403533,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,43.48
49694,no,yes,no,1977-08-29,yes,no,credit_card,12.2005,42.8,Thursday,10:42,1,404269,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49695,no,no,no,1978-08-01,yes,no,check,11.2007,57.8,Friday,12:00,1,402123,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,41.54
49696,no,yes,no,1960-03-09,no,no,credit_card,11.2006,43.5,Sunday,2:55,1,406774,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,12.73
49698,yes,no,no,1964-12-18,no,no,debit_note,6.2006,48.7,Sunday,12:38,2,109102,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,41.69
49699,yes,yes,no,1966-06-13,no,no,credit_card,10.2005,60.3,Sunday,21:10,2,407934,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49702,no,yes,no,1937-08-06,no,no,credit_card,2.2005,68.5,Wednesday,12:52,2,503950,no,no,no,no,no,no,no,no,no,no,no,no,3,yes,0,41.69
49704,no,yes,yes,1960-06-13,yes,no,credit_card,2.2006,17.8,Monday,22:23,1,504921,no,no,no,no,no,no,no,no,no,no,no,no,13,no,1,147.69
49705,no,no,no,1978-03-29,yes,no,check,9.2007,9.99,Tuesday,8:14,1,405580,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49708,no,yes,no,1962-08-15,yes,no,check,10.2006,8.5,Monday,0:58,1,503639,no,no,no,no,no,no,no,no,no,no,no,no,8,no,1,6.93
49709,yes,no,no,1966-11-02,no,no,credit_card,4.2006,117.8,Saturday,4:24,3,104935,no,no,no,no,no,no,no,no,no,no,no,no,2,yes,0,41.69
49711,no,yes,no,1979-03-31,no,yes,credit_card,1.2007,17.5,Wednesday,18:48,1,506398,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49712,no,yes,no,1958-06-04,yes,no,check,5.2005,18.2,Thursday,0:24,1,500578,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49714,no,yes,no,1967-06-16,yes,no,check,10.2007,5.2,Saturday,22:32,1,200147,no,no,no,no,no,no,no,no,no,yes,no,no,8,no,2,232.26
49715,no,yes,no,1964-04-03,yes,no,debit_note,4.2005,105.5,Saturday,12:15,3,102496,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49716,no,yes,no,1984-04-23,yes,no,check,10.2007,49.5,Sunday,9:17,4,104645,no,no,no,no,no,no,no,no,no,no,no,no,5,no,2,327.8
49717,no,yes,no,1979-06-03,no,no,debit_note,6.2007,43.5,Saturday,18:07,1,104159,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,41.69
49720,no,yes,no,1961-10-24,yes,no,check,2.2005,5.2,Saturday,18:00,1,200147,no,no,no,no,no,no,no,no,no,no,no,no,1,yes,0,41.69
49721,no,no,no,1983-10-31,yes,no,check,2.2007,74.8,Sunday,19:50,2,103950,no,no,no,no,no,no,no,no,no,no,no,no,16,yes,0,41.69
49722,no,yes,no,1961-06-01,no,yes,credit_card,3.2005,16.0,Monday,9:54,1,400767,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49728,no,yes,no,1966-03-18,yes,no,check,4.2007,10.8,Friday,13:10,1,408470,no,no,no,no,no,no,no,no,no,no,no,no,6,yes,0,41.69
49729,no,yes,no,1972-07-21,no,no,credit_card,3.2007,32.8,Friday,11:48,1,409736,no,no,no,no,no,no,no,no,no,no,no,no,12,no,2,79.7
49730,no,yes,no,1968-05-02,no,no,credit_card,10.2005,68.4,Thursday,17:03,1,308997,no,no,no,no,no,no,no,no,no,no,no,no,10,no,3,39.09
49731,no,no,no,1969-01-04,yes,no,check,5.2005,55.4,Sunday,15:12,2,406685,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,17.75
49732,no,yes,no,1969-11-16,yes,no,check,1.2005,10.8,Monday,3:13,1,302133,no,no,no,no,no,no,no,no,no,no,no,no,15,yes,0,41.69
49734,no,yes,no,1976-02-07,yes,no,check,11.2006,17.8,Wednesday,7:30,1,402243,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49735,no,yes,no,1967-02-02,no,no,debit_card,6.2006,9.99,Wednesday,0:57,1,406929,no,no,no,no,no,no,no,no,no,no,no,no,15,no,1,15.67
49738,no,no,no,1966-03-16,yes,no,check,8.2007,17.99,Sunday,16:24,1,206590,no,no,no,no,no,no,no,no,no,no,no,no,9,yes,0,41.69
49740,no,yes,yes,1983-10-31,no,no,credit_card,4.2007,64.5,Friday,15:09,1,209006,no,no,no,no,no,no,no,no,no,no,no,no,10,no,1,17.92
49742,no,yes,no,1954-08-18,no,no,credit_card,1.2007,98.0,Saturday,6:29,3,202133,no,no,no,no,no,no,no,no,no,no,no,no,4,yes,0,41.69
49743,no,yes,no,1975-01-29,yes,no,check,1.2007,68.4,Sunday,18:17,1,205284,no,no,no,no,no,no,no,no,no,no,no,no,14,yes,0,41.69
49744,no,yes,no,1975-06-08,no,no,credit_card,12.2007,54.69,Wednesday,9:20,3,406859,no,no,no,no,no,no,no,no,no,no,no,no,13,no,1,89.1
49746,no,yes,yes,1980-05-06,yes,no,debit_note,8.2005,16.0,Wednesday,15:39,1,402496,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49749,no,yes,yes,1969-06-01,yes,no,debit_note,1.2006,39.5,Sunday,7:52,1,309121,no,no,no,no,no,no,no,no,no,no,no,no,12,no,3,46.77
49751,no,yes,no,1973-08-06,yes,no,check,2.2006,19.99,Monday,12:51,1,402697,no,no,no,no,no,no,no,no,no,no,no,no,14,no,2,224.86
49753,no,no,no,1972-03-07,yes,no,check,2.2005,8.5,Saturday,16:08,1,408889,no,no,no,no,no,no,no,no,no,no,no,no,7,no,1,59.18
49760,no,yes,no,1978-05-21,no,yes,debit_note,6.2005,51.0,Tuesday,6:11,1,308777,yes,no,no,no,no,no,no,no,no,no,no,no,10,no,2,220.92
49761,no,no,no,1967-07-09,yes,no,check,11.2007,5.2,Saturday,22:40,1,204921,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,6.07
49762,no,no,no,1970-08-13,yes,no,debit_card,10.2005,19.99,Sunday,0:00,1,402246,no,no,no,no,no,no,no,no,no,no,no,no,9,no,0,41.69
49763,no,yes,no,1971-05-05,yes,no,check,11.2007,22.95,Saturday,9:39,1,201511,no,no,no,no,no,no,no,no,no,no,no,no,6,no,1,14.53
49765,no,yes,no,1975-06-10,no,no,debit_note,4.2007,17.8,Wednesday,21:21,1,204792,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,237.01
49766,no,yes,no,1940-02-23,no,yes,credit_card,12.2007,17.8,Tuesday,22:33,1,307699,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49767,no,yes,no,1970-08-24,no,no,credit_card,8.2007,16.0,Friday,10:42,1,404159,no,no,no,no,no,no,no,no,no,no,no,no,12,no,2,233.76
49768,no,yes,no,1975-10-04,no,no,debit_note,11.2007,51.0,Wednesday,11:26,1,507610,no,no,no,no,no,no,no,no,no,no,no,no,10,yes,0,41.69
49830,no,yes,no,1977-12-06,no,no,debit_card,3.2007,29.99,Monday,13:56,1,407741,no,no,no,no,no,no,no,no,no,no,no,no,7,no,0,41.69
49831,no,yes,no,1979-10-28,no,no,credit_card,3.2006,83.8,Tuesday,15:16,2,402993,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49832,no,yes,no,1977-08-30,no,no,credit_card,10.2006,19.99,Wednesday,22:32,1,204341,no,no,no,no,no,no,no,no,no,no,no,no,9,yes,0,41.69
49835,no,yes,no,1960-03-27,no,no,credit_card,10.2005,8.5,Tuesday,19:41,1,401402,no,no,no,no,no,no,no,no,no,no,no,no,9,yes,0,41.69
49837,no,no,yes,1974-04-04,no,no,credit_card,8.2005,9.99,Wednesday,3:09,1,508801,no,no,no,no,no,no,no,no,no,no,no,no,12,no,1,86.97
49839,yes,yes,no,1965-11-26,no,no,credit_card,9.2006,41.0,Friday,16:40,2,407934,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49840,no,yes,no,1973-03-20,yes,no,check,12.2006,34.5,Wednesday,11:53,1,405874,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49842,no,yes,no,1962-02-23,yes,yes,credit_card,4.2007,41.0,Sunday,12:01,1,309500,no,no,no,no,no,no,no,no,no,no,no,no,18,no,1,68.06
49843,no,no,yes,1963-08-12,yes,no,credit_card,2.2006,18.2,Saturday,4:53,1,408143,no,no,no,no,no,no,no,no,no,no,no,no,20,no,1,32.95
49844,no,yes,no,1981-01-24,no,yes,credit_card,4.2005,12.8,Saturday,13:47,1,405555,no,no,no,no,no,no,no,no,no,no,no,no,5,no,2,163.44
49845,no,yes,no,1965-11-12,yes,no,check,8.2007,18.0,Friday,2:30,1,107570,no,no,no,no,no,no,no,no,no,no,no,no,15,no,1,25.99
49846,no,yes,no,1969-06-01,yes,yes,check,11.2006,9.8,Thursday,0:48,1,405378,no,no,no,no,no,no,no,no,no,no,no,no,9,yes,0,41.69
49849,no,yes,no,1969-06-01,no,no,credit_card,12.2005,17.8,Sunday,21:32,1,203397,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49852,no,yes,yes,1969-06-01,yes,no,check,2.2007,31.9,Saturday,10:55,1,409015,yes,no,no,no,no,no,no,no,no,no,no,no,12,no,1,7.13
49853,no,no,yes,1967-02-19,yes,no,check,5.2007,33.5,Wednesday,12:14,2,401223,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49854,yes,no,yes,1978-05-19,yes,no,check,5.2007,75.3,Tuesday,7:33,2,401648,no,no,no,no,no,no,no,no,no,no,no,no,9,no,1,32.31
49856,no,yes,no,1973-09-01,yes,no,credit_card,7.2005,12.8,Saturday,5:21,1,202454,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,35.85
49859,no,yes,yes,1955-01-11,yes,no,credit_card,3.2007,34.5,Sunday,9:42,1,506590,no,no,no,no,no,no,no,no,no,no,no,no,7,yes,0,41.69
49860,no,no,no,1969-06-01,no,no,credit_card,4.2005,68.4,Friday,14:03,1,408289,yes,no,no,no,no,no,no,no,no,no,no,no,9,no,2,21.28
49861,yes,yes,no,1971-07-24,no,yes,credit_card,8.2006,9.8,Thursday,15:35,1,201967,no,no,no,no,no,no,no,no,no,no,no,no,8,yes,0,41.69
49863,no,yes,no,1978-08-09,yes,no,check,9.2007,34.5,Wednesday,18:44,1,504935,no,no,no,no,no,no,no,no,no,no,no,no,5,yes,0,41.69
49864,no,yes,yes,1971-10-08,no,no,credit_card,8.2006,121.5,Thursday,7:23,3,600124,no,no,no,no,no,no,no,no,no,no,no,no,11,yes,0,41.69
49866,yes,yes,no,1959-12-02,no,no,credit_card,7.2005,34.5,Monday,9:09,1,409006,no,no,no,no,no,no,no,no,no,no,no,no,5,no,1,5.93
49869,yes,yes,no,1982-06-29,yes,no,credit_card,3.2007,199.45,Thursday,12:59,5,406310,no,no,no,no,no,no,no,no,no,no,no,no,12,yes,0,41.69
49873,no,yes,no,1976-09-18,yes,no,check,6.2007,18.0,Friday,0:31,1,200035,no,no,no,no,no,no,no,no,no,no,no,no,3,no,1,17.7
